,in_degree,out_degree,betweenness,eigenvector,is_likely_promo
squeakyllama.bsky.social,69,3,0.00299664948731272,1.3169482998951066e-14,False
cassiarowland.bsky.social,38,0,0.0006401857657491914,3.2887235118368383e-25,False
fleerultra.bsky.social,27,5,0.00033231649458307543,3.082917896286761e-21,True
popcrave.com,27,0,0.0015012252616888805,7.147602456754165e-23,False
film-authority.bsky.social,24,24,3.7292374703836394e-05,0.7072928614845463,False
theferocity.bsky.social,18,6,0.0001524843765667977,1.111477058481476e-24,False
gravitysra1nbow.bsky.social,18,3,0.0004060725245528852,1.2221955570105916e-26,False
mollyknight.bsky.social,18,1,0.00015538489459931832,6.074132182282686e-31,False
ptklein.com,18,8,0.0005229219652915726,1.5244649627497401e-19,False
nicetopatrick.bsky.social,16,2,0.0004441936186945846,9.284152937411478e-27,False
apnews.com,16,0,9.36452964785225e-05,2.7755296640557044e-29,False
macydaisy.bsky.social,15,7,8.701554097561824e-05,2.557345885697537e-26,False
pinkponysub.bsky.social,15,5,0.0005378389151731071,4.53042519264435e-22,False
hereliescorri.bsky.social,15,10,2.3204144260164866e-05,1.886263729344806e-14,False
lady-of-sorrows.bsky.social,13,10,2.8176460887343053e-05,6.903033475847877e-19,False
mattielubchansky.com,13,3,0.0004375638631916803,3.749773117396516e-27,False
sachacoward.bsky.social,12,1,4.55795690824667e-05,1.0703166595120003e-33,False
hleehurley.com,12,1,6.298267727759035e-05,2.2523402143963884e-33,False
rosserford.bsky.social,12,2,0.00011187712411150918,4.1536727707549737e-26,False
kvetch.gay,11,7,2.3204144260164866e-05,4.451325378163135e-22,False
rezekjoe.bsky.social,11,3,0.0002220968093472923,5.881300654422272e-20,False
kikkiplanet.bsky.social,11,2,0.0005370101957352441,2.074817313770778e-24,False
alissawilkinson.bsky.social,10,7,3.48062163902473e-05,9.51365439787142e-25,True
adamrutherford.bsky.social,10,1,5.220932458537095e-05,1.1302648403471286e-37,False
originalsp.in,10,3,2.2375424822301837e-05,6.619182295489399e-29,True
ricrus77.bsky.social,9,8,4.640828852032973e-05,1.2094367434217127e-18,False
letterboxd.social,9,0,2.9833899763069115e-05,1.0701523613024514e-41,False
pinkmouse.bsky.social,9,10,8.28719437863031e-06,9.784120949127207e-17,False
erudito78.bsky.social,9,6,1.657438875726062e-05,4.084784004874155e-24,False
thirdsandsixths.bsky.social,8,7,1.8231827632986682e-05,1.0050247596452599e-17,False
markobau.bsky.social,8,6,4.972316627178185e-06,2.6575792008288922e-19,False
markgaybakes.bsky.social,8,7,9.530273535424857e-05,1.1582457719320072e-25,False
generalboles.bsky.social,7,1,3.1491338638795174e-05,4.862934551324904e-36,False
motoridersd.pug.ninja,7,3,8.28719437863031e-06,3.464183425987102e-31,False
andreia-carbonari.bsky.social,7,2,0.00010110377141928977,8.223165455019651e-30,False
nixostorme.bsky.social,7,2,3.232005807665821e-05,3.0255556046085246e-37,False
jorisbinned.bsky.social,7,5,1.4916949881534558e-05,4.424503004246034e-25,False
symbo1ics.bsky.social,7,4,1.2430791567945464e-05,1.2347446727729658e-31,False
prdnme.bsky.social,7,1,0.00024322915501279974,3.974682046145393e-15,False
dianaaceves.com,7,2,8.28719437863031e-06,1.0472726064317902e-32,False
funkelly.bsky.social,6,0,8.28719437863031e-06,5.275076239829768e-43,False
prasshant.bsky.social,6,3,8.28719437863031e-06,1.0784066324548471e-31,False
gregoryellwood.bsky.social,6,0,1.2430791567945464e-05,8.201949180516671e-46,False
anfieldkathy.bsky.social,6,2,8.28719437863031e-06,1.0229106422821416e-35,False
boykelly13.bsky.social,6,3,8.950169928920735e-05,3.4113642431588177e-20,False
johnmaddening.bsky.social,6,5,4.972316627178185e-06,3.227247845076215e-26,False
karenho.bsky.social,6,3,0.00012762279343090676,2.424662637947956e-28,False
feralstreeep.bsky.social,6,2,1.2430791567945464e-05,8.92487401961327e-39,False
mutablesoul.bsky.social,6,2,4.143597189315155e-06,2.561819158166615e-30,False
jeninmotion.bsky.social,5,2,8.28719437863031e-07,2.106809028028881e-20,False
nytimes.com,5,0,8.28719437863031e-06,1.3763689530035541e-47,False
filmbrainbmb.bsky.social,5,1,8.28719437863031e-06,5.275076239829768e-43,False
christianarjonap.bsky.social,5,2,8.28719437863031e-07,3.847263850082345e-29,False
donmoyn.bsky.social,5,0,8.28719437863031e-06,1.3763689530035541e-47,False
upvotegreyhounds.bsky.social,5,4,0.0,0.37886860994437305,False
moutix2.bsky.social,5,4,8.28719437863031e-07,4.823917839629313e-22,False
himbonotes.bsky.social,5,3,8.28719437863031e-07,2.786352633963906e-27,False
dresdencodak.com,5,0,8.28719437863031e-06,1.3763689530035541e-47,False
thrasherxy.bsky.social,5,1,4.972316627178185e-06,7.367861648433925e-39,False
hexhound.bsky.social,5,0,4.972316627178185e-06,2.244196483852971e-44,False
robertsecundus.bsky.social,5,5,8.28719437863031e-07,3.0388285060979237e-22,False
guimaraujo.bsky.social,5,3,7.458474940767279e-06,1.589392281514283e-35,False
clapifyoulikeme.favrd.social,5,1,4.972316627178185e-06,7.367861648433925e-39,False
azurebee.bsky.social,5,2,4.972316627178185e-06,7.003680828217628e-34,False
glitterburrito.bsky.social,5,2,4.972316627178185e-06,1.8922986207589574e-36,False
juliancampos.bsky.social,4,3,0.0,4.935206682205571e-23,False
guvna.bsky.social,4,4,8.28719437863031e-07,9.181591189229628e-23,False
venividicringy.eurosky.social,4,1,2.4861583135890927e-06,8.146064976028578e-40,False
