,in_degree,out_degree,betweenness,closeness,eigenvector,is_likely_promo
squeakyllama.bsky.social,69,3,0.9665864742047582,0.725,0.683458790062171,False
prdnme.bsky.social,7,1,0.078454958567228,0.33984375,0.20627471938906947,False
silentbrouhaha.bsky.social,4,1,0.12670408981555734,0.4627659574468085,0.10236266636485016,False
ebcollis.bsky.social,4,2,0.0900828655439722,0.4393939393939394,0.0926950435290265,False
polly-o.bsky.social,4,4,0.052125100240577385,0.33984375,0.2706207624103088,False
sdzdc.bsky.social,2,5,0.011761561079925154,0.4306930693069307,0.12470855071409756,False
philcox99.bsky.social,2,2,0.0,0.4223300970873786,0.10979857353365724,False
rekati.bsky.social,1,1,0.022988505747126436,0.4264705882352941,0.07172994290416713,False
nikkipearl.bsky.social,1,1,0.022988505747126436,0.4264705882352941,0.07172994290416713,False
livesantacruz.bsky.social,1,2,0.022988505747126436,0.4264705882352941,0.07415390068899765,False
ladyfoxglove93.bsky.social,1,1,0.0,0.4264705882352941,0.08390405309741523,False
aoife-rose.bsky.social,1,1,0.0,0.2979452054794521,0.1419135857585883,False
lab-reports.bsky.social,1,1,0.011093290564020315,0.4264705882352941,0.07308877572586038,False
victoriangothic.bsky.social,1,1,0.0,0.23138297872340424,0.015397337919678459,False
shadyboots81.bsky.social,1,1,0.022988505747126436,0.30851063829787234,0.009728472698743664,False
ccdude8.bsky.social,1,1,0.03327987169206091,0.435,0.07197706799302238,False
bertjim.bsky.social,1,2,0.0,0.4223300970873786,0.09020401919422065,False
xraynaqueen.bsky.social,1,2,0.025260625501202887,0.25892857142857145,0.022680208473206096,False
thatsparkles.bsky.social,1,1,0.022988505747126436,0.4264705882352941,0.071729942904167,False
tummy-aches.bsky.social,1,1,0.022988505747126436,0.4264705882352941,0.07172994290416716,False
mattaiwarrior.bsky.social,1,1,0.0,0.4264705882352941,0.08390405309741523,False
ratchetology.bsky.social,1,1,0.013632718524458728,0.31985294117647056,0.009827332471825297,False
mrmartino.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
jahsounds.bsky.social,0,1,0.0,0.30633802816901406,0.009623613157463242,False
tofuhama.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
beckalecka.bsky.social,0,4,0.0,0.3320610687022901,0.19142494535940868,False
preston.camera,0,1,0.0,0.4223300970873786,0.07095679287929416,False
quiltbunny.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
vanlighet.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
lindavt.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
ehs06702.blacksky.app,0,1,0.0,0.2543859649122807,0.02809588766198797,False
someothercow.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
leohorishny.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
thecreweofthefancy.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
gw161irish.bsky.social,0,2,0.04196738839882388,0.453125,0.09237226481812649,False
roguetime.bsky.social,0,1,0.0,0.3,0.007447013303364743,False
lohaddotcom.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
fictionwriternc.bsky.social,0,1,0.0,0.3,0.007447013303364643,False
stevebrycegames.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
auntiemamelives.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
jazzrat2000.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
nsparks.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
cheers464646.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
ladymidath.bsky.social,0,1,0.0,0.23641304347826086,0.0010100114774350586,False
spritedear.bsky.social,0,1,0.0,0.30633802816901406,0.009623613157463242,False
thecalebrogers.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
millie29.bsky.social,0,1,0.0,0.3175182481751825,0.01062730719311145,False
wayfarerone.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
mat111.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
thefoodandwinediva.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
commanda4.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
hartleysiddenj.bsky.social,0,1,0.0,0.20616113744075829,0.0023546626051092067,False
clio2.bsky.social,0,1,0.0,0.3,0.007447013303364837,False
seasthemoment.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
jenejareth.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
jimmycraig42.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
yanygal.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
agreaternotion.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
captaindunsel.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
tydyethefly.blacksky.app,0,1,0.0,0.2543859649122807,0.021415471938832312,False
goodknight70.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
godeep.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
gaffa.bsky.social,0,2,0.00013365410318096765,0.3041958041958042,0.02053534774642576,False
dr-ohm.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
