author,Louvain,Greedy,FluidC,Girvan-Newman
agreaternotion.bsky.social,1,0,6,1
akoltchak.bsky.social,1,0,3,1
aoife-rose.bsky.social,1,0,6,1
auntiemamelives.bsky.social,1,0,3,1
beckalecka.bsky.social,9,1,2,2
bertjim.bsky.social,2,2,6,0
boondockingintheus.bsky.social,1,0,6,1
captaindunsel.bsky.social,1,0,6,1
cate-evans4.bsky.social,9,1,5,3
ccdude8.bsky.social,6,1,5,3
charcharjo6.bsky.social,1,0,3,1
cheers464646.bsky.social,1,0,6,1
clio2.bsky.social,8,8,6,10
commanda4.bsky.social,1,0,3,1
desertdweller760.bsky.social,1,0,3,1
dr-ohm.bsky.social,1,0,3,1
ebcollis.bsky.social,2,2,6,0
ehs06702.blacksky.app,9,1,2,2
fictionwriternc.bsky.social,4,6,1,8
flowers36.bsky.social,9,4,5,2
gabnat.bsky.social,1,0,3,1
gaffa.bsky.social,7,3,4,5
godeep.bsky.social,1,0,3,1
goodknight70.bsky.social,1,0,3,1
gothicfirekitteh.bsky.social,1,0,6,1
gw161irish.bsky.social,9,1,2,3
gypitneep.bsky.social,1,0,3,1
hartleysiddenj.bsky.social,6,1,5,3
imajerk.bsky.social,1,0,3,1
jahsounds.bsky.social,2,2,6,0
jazzrat2000.bsky.social,1,0,6,1
jenejareth.bsky.social,1,0,3,1
jennie-ess.bsky.social,1,0,3,1
jimmycraig42.bsky.social,1,0,3,1
jockd.bsky.social,1,0,3,1
just--bruno.bsky.social,1,0,6,1
lab-reports.bsky.social,7,3,4,5
ladyfoxglove93.bsky.social,7,3,4,4
ladymidath.bsky.social,2,2,6,0
leohorishny.bsky.social,1,0,6,1
lindavt.bsky.social,1,0,3,1
lisann57.bsky.social,1,0,6,1
livesantacruz.bsky.social,0,5,6,6
lohaddotcom.bsky.social,1,0,6,1
lsamardich.bsky.social,1,0,3,1
mariaaragon64.bsky.social,1,0,3,1
mat111.bsky.social,1,0,6,1
mattaiwarrior.bsky.social,7,3,4,4
michaelraywilliams.bsky.social,3,9,3,7
microveldt.bsky.social,1,0,6,1
millie29.bsky.social,9,4,5,2
mrmartino.bsky.social,1,0,3,1
mslonib.bsky.social,1,0,3,1
nikkipearl.bsky.social,4,6,1,8
nsparks.bsky.social,1,0,3,1
philcox99.bsky.social,7,3,4,4
polly-o.bsky.social,9,1,2,2
prdnme.bsky.social,9,1,2,3
preston.camera,1,0,6,1
quiltbunny.bsky.social,1,0,3,1
ratchetology.bsky.social,6,1,5,3
rekati.bsky.social,8,8,6,10
roguetime.bsky.social,5,7,0,9
rokey.bsky.social,1,0,6,1
sdzdc.bsky.social,7,3,4,4
seasthemoment.bsky.social,1,0,3,1
sfannie53.bsky.social,1,0,3,1
shadyboots81.bsky.social,2,2,6,0
silentbrouhaha.bsky.social,9,4,2,2
someothercow.bsky.social,1,0,3,1
spritedear.bsky.social,2,2,6,0
squeakyllama.bsky.social,1,0,3,1
stevebrycegames.bsky.social,1,0,3,1
texasgypsi.bsky.social,1,0,3,1
thatsparkles.bsky.social,3,9,3,7
thecalebrogers.bsky.social,1,0,3,1
thecreweofthefancy.bsky.social,1,0,3,1
thefoodandwinediva.bsky.social,1,0,6,1
tinamur.bsky.social,9,4,2,2
tofuhama.bsky.social,1,0,6,1
tummy-aches.bsky.social,5,7,0,9
tydyethefly.blacksky.app,9,1,5,3
uneasywriter.bsky.social,9,1,2,2
vanlighet.bsky.social,1,0,6,1
victoriangothic.bsky.social,0,5,6,6
wayfarerone.bsky.social,1,0,6,1
xraynaqueen.bsky.social,6,1,5,3
yanygal.bsky.social,1,0,6,1
