community,n_authors,n_texts,central_member,avg_vader_compound,avg_afinn,dominant_emotion,top_entity,interpretation
0,49,54,squeakyllama.bsky.social,-0.017,-1.037,disgust,anne hathaway,
1,2,3,tummy-aches.bsky.social,-0.092,-0.667,anger,adrian grenier,
2,6,13,sdzdc.bsky.social,0.098,-0.154,anticipation,colossal,
3,2,2,thatsparkles.bsky.social,0.255,0.5,anticipation,,
4,2,2,rekati.bsky.social,-0.34,-3.0,anger,,
5,6,8,ebcollis.bsky.social,0.093,0.625,sadness,anne hathaway,
6,11,19,prdnme.bsky.social,-0.011,-1.0,trust,a year,
7,2,2,nikkipearl.bsky.social,0.632,1.0,sadness,andy,
8,2,3,livesantacruz.bsky.social,-0.383,-2.0,surprise,,
9,4,5,ccdude8.bsky.social,0.077,-0.6,anticipation,hp,
