author,is_likely_promo,in_giant_component
08mms.bsky.social,False,False
broccolirob.gobirds.online,False,False
116flor.bsky.social,False,False
bobby1998.bsky.social,False,False
1800000burn.hyper.wang,False,False
ninejackals.bsky.social,False,False
27cansoftuna.bsky.social,False,False
chronolynx.bsky.social,False,False
2intheshinx.bsky.social,False,False
mattyb123.bsky.social,False,False
400vicezo.bsky.social,False,False
tagrevista.com,False,False
45382ud.bsky.social,False,False
mollyknight.bsky.social,False,False
4gr1d0c3.bsky.social,False,False
alertadetorrents.bsky.social,False,False
617to416.bsky.social,False,False
cjsprigman.bsky.social,False,False
7dreamondreamer.bsky.social,False,False
himbonotes.bsky.social,False,False
8bithe.art,False,False
symbo1ics.bsky.social,False,False
8bittripper.bsky.social,False,False
nicetopatrick.bsky.social,False,False
aarongrote.com,False,False
gravitysra1nbow.bsky.social,False,False
aaronlara.bsky.social,False,False
markgaybakes.bsky.social,False,False
aaubin.bsky.social,False,False
karenho.bsky.social,False,False
aavehannus.bsky.social,False,False
indrekibrus.bsky.social,False,False
abh93.bsky.social,False,False
petermcunningham.com,False,False
absurdistscribbler.bsky.social,False,False
varindel.bsky.social,False,False
abundantmischief.bsky.social,False,False
storyaddict.bsky.social,False,False
acetennisfan1.bsky.social,False,False
karu1402.bsky.social,False,False
adam-manx.bsky.social,False,False
chrsphr.uk,False,False
adamjewell.bsky.social,False,False
mauraquint.bsky.social,False,False
adamphoebe.neocities.org,False,False
chiron1.bsky.social,False,False
adamrutherford.bsky.social,False,False
cosmicshambles.com,False,False
iangorrie.bsky.social,False,False
johnaking.bsky.social,False,False
kiwinomad06.bsky.social,False,False
mark07929.bsky.social,False,False
nealshepperson.bsky.social,False,False
panda359.bsky.social,False,False
paulnuk.eurosky.social,False,False
rmathematicus.bsky.social,False,False
tania-w.bsky.social,False,False
adamzucker.bsky.social,False,False
zacharylesser.bsky.social,False,False
adrianhon.bsky.social,False,False
lizzycampbell.bsky.social,False,False
adtru.bsky.social,False,False
pinkponysub.bsky.social,False,False
aduralde.bsky.social,False,False
maximumfun.org,False,False
rinabina.bsky.social,False,False
afc5ever.bsky.social,False,False
prasshant.bsky.social,False,False
afishcalledwanda.bsky.social,False,False
shnopsdejesus.bsky.social,False,False
aftermark.bsky.social,False,False
rattatatouille.bsky.social,False,False
turgidjacobian.bsky.social,False,False
agreaternotion.bsky.social,False,True
squeakyllama.bsky.social,False,True
aguamineralfresca.bsky.social,False,False
samanthaballent.bsky.social,False,False
ahab.bsky.social,False,False
starlady38.bsky.social,False,False
aicdoesk.ink,False,False
motoridersd.pug.ninja,False,False
aishamcnamara.bsky.social,False,False
ricrus77.bsky.social,False,False
aisleseat.bsky.social,False,False
bpdreview.bsky.social,False,False
aitchemcee283.bsky.social,False,False
biggreenbooks.bsky.social,False,False
akelacooper.bsky.social,False,False
kenk1980.bsky.social,False,False
uncanny305.bandcamp.com,False,False
akoltchak.bsky.social,False,True
alangrofield.bsky.social,False,False
albertoreale.bsky.social,False,False
hleehurley.com,False,False
maserrano.bsky.social,False,False
alewatches.bsky.social,False,False
manndaraee.bsky.social,False,False
alexanderchee.bsky.social,False,False
mattielubchansky.com,False,False
alexdualgrey.bsky.social,False,False
dnaforever.bsky.social,False,False
popcrave.com,False,False
alexfreddo.bsky.social,False,False
venividicringy.eurosky.social,False,False
alexxremake.eurosky.social,False,False
manycura.bsky.social,False,False
